latitude,longitude,altitude,distance
-13.23923,131.10562,58.9,114139.0
-13.24056,131.10779,52.0,114417.0
-13.24146,131.10966,56.5,114643.0
-13.24215,131.1115,54.3,114857.0
-13.24254,131.11295,54.9,115020.0
-13.24268,131.11365,54.1,115098.0
-13.24278,131.11419,54.4,115157.0
-13.24308,131.11634,52.0,115392.0
-13.243245,131.11755,52.7,115525.0
-13.24336,131.11836,52.1,115614.0
-13.24379,131.12033,52.3,115832.0
-13.246755,131.12772,49.4,116701.0
-13.24716,131.1285,49.6,116797.0
-13.24791,131.12983,49.0,116964.0
-13.24868,131.13114,49.7,117130.0
-13.249365,131.132215,49.1,117269.0
-13.250015,131.13319,50.1,117397.0
-13.250815,131.13434,49.1,117550.0
-13.25292,131.13712,51.0,117932.0
-13.25386,131.13824,50.7,118092.0
-13.25498,131.13951,51.2,118278.0
-13.2555,131.14007,50.7,118361.0
-13.255835,131.14042,50.8,118415.0
-13.25617,131.14077,50.7,118468.0
-13.25658,131.141185,51.1,118532.0
-13.25815,131.142773,50.2,118777.0
-13.259363,131.144003,52.0,118967.0
-13.26063,131.14529,51.0,119165.0
-13.261254,131.145923,51.9,119263.0
-13.261878,131.146556,51.0,119360.0
-13.264373,131.149088,52.9,119751.0
-13.264997,131.149722,51.5,119849.0
-13.269334,131.15412,54.8,120527.0
-13.269928,131.15472,52.5,120620.0
-13.270522,131.15532,52.8,120712.0
-13.271116,131.15592,52.5,120805.0
-13.27453,131.15939,53.1,121340.0
-13.27621,131.1611,52.0,121603.0
-13.27832,131.16363,55.0,121964.0
-13.27886,131.16438,52.3,122065.0
-13.28152,131.16923,55.5,122669.0
-13.28188,131.17014,53.5,122776.0
-13.28322,131.174567,61.3,123279.0
-13.28406,131.1778,57.5,123641.0
-13.28595,131.18421,69.0,124368.0
-13.289484,131.189184,57.1,125036.0
-13.28997,131.18984,57.4,125125.0
-13.29148,131.19189,54.2,125404.0
-13.293538,131.194678,56.9,125783.0
-13.294052,131.195372,56.2,125877.0
-13.2996,131.20222,70.7,126844.0
-13.301415,131.20381,69.0,127110.0
-13.30222,131.20445,70.3,127223.0
-13.30782,131.20765,64.0,127938.0
-13.30994,131.20844,65.4,128189.0
-13.31533,131.209623,59.1,128804.0
-13.320134,131.210335,61.0,129344.0
-13.324293,131.210949,57.1,129812.00000000001
-13.32762,131.21144,62.5,130186.0
-13.328426,131.211558,62.3,130276.99999999999
-13.330844,131.211912,66.0,130549.0
-13.33425,131.21227,63.0,130930.0
-13.33528,131.21231,63.5,131044.99999999999
-13.33664,131.2123,62.1,131196.0
-13.3409,131.21201,68.8,131672.0
-13.343873,131.211717,66.2,132004.0
-13.350125,131.2113,78.0,132702.0
-13.35157,131.21139,76.0,132863.0
-13.35453,131.211865,79.8,133197.0
-13.363187,131.215777,66.7,134258.0
-13.36387,131.21625,67.0,134349.0
-13.36451,131.21678,66.4,134441.0
-13.3669,131.21906,69.0,134804.0
-13.367215,131.219405,68.9,134855.0
-13.368,131.220345,69.4,134990.0
-13.36847,131.22094,68.6,135073.0
-13.37054,131.22428,74.9,135502.0
-13.37178,131.22701,66.2,135829.0
-13.3725,131.22925,67.3,136084.0
-13.372995,131.230955,66.0,136277.0
-13.37366,131.23328,67.9,136539.0
-13.37501,131.23793,64.0,137065.0
-13.37542,131.23936,64.8,137226.0
-13.37565,131.24015,64.0,137316.0
-13.37683,131.24373,66.2,137725.0
-13.37805,131.24628,65.4,138033.0
-13.381145,131.25076,72.1,138629.0
-13.382085,131.251905,71.9,138791.0
-13.388047,131.259137,91.1,139818.0
-13.389614,131.261062,89.5,140090.0
-13.390136,131.261708,90.0,140181.0
-13.394735,131.26761,78.8,141000.0
-13.395937,131.26939,79.3,141235.0
-13.396425,131.27012,79.0,141331.0
-13.401347,131.27755,105.5,142304.0
-13.40448,131.282295,83.0,142925.0
-13.405237,131.283437,83.4,143075.0
-13.410033,131.290628,71.4,144019.0
-13.410555,131.291355,71.5,144117.0
-13.41208,131.293408,68.4,144397.0
-13.41256,131.294006,68.5,144480.0
-13.41352,131.295202,68.0,144648.0
-13.42019,131.30227,79.6,145715.0
-13.42363,131.30527,69.2,146218.0
-13.42897,131.30924,74.9,146952.0
-13.43017,131.31004,74.2,147111.0
-13.43066,131.31034,74.5,147174.0
-13.43133,131.31076,74.0,147262.0
-13.43542,131.3131,76.0,147783.0
-13.43631,131.31357,75.0,147894.0
-13.44284,131.31684,89.6,148703.0
-13.444416,131.317631,88.1,148898.0
-13.451506,131.321193,116.5,149777.0
-13.455387,131.323139,96.8,150257.0
-13.461456,131.326173,111.1,151008.0
-13.47197,131.33508,89.0,152562.0
-13.47287,131.33744,93.3,152837.0
-13.47305,131.33807,93.1,152908.0
-13.47334,131.33944,94.0,153060.0
-13.47458,131.34516,87.2,153694.0
-13.474762,131.346015,87.5,153789.0
-13.475854,131.351147,82.0,154357.0
-13.476218,131.352858,83.0,154547.0
-13.476582,131.354569,81.0,154737.0
-13.47771,131.35924,84.4,155258.0
-13.47825,131.36051,83.6,155408.0
-13.47923,131.36218,85.5,155620.0
-13.47996,131.36314,85.2,155752.0
-13.48052,131.36375,85.6,155843.0
